indeks_igre,prvi_igralec,prvi_id,drugi_igralec,drugi_id,izid,stevilo_potez,leto,kraj,odprtje_neka_stevilka,odprtje
1243387,Mackowiak,73299,Kusiak,73300,1-0,5,1980,Lublin,B00,Uncommon King's Pawn Opening
1251073,Deming,77680,Cornell,33568,1-0,6,1980,Indiana Winter op,B20,Sicilian
1077144,B Wall,32393,G Hayes,32944,1-0,7,1980,Dayton,C39,King's Gambit Accepted
1243385,Ziganovic,73296,Laketic,41055,1-0,7,1980,Joegoeslavie,B13,"Caro-Kann, Exchange"
1251060,B Wall,32393,R J Lovegren,77670,1-0,7,1980,Dayton,C15,"French, Winawer"
1077135,K Johansson,32802,S Svensson,32934,1-0,8,1980,corres SWE,C32,"King's Gambit Declined, Falkbeer Counter Gambit"
1243374,Moreno,48744,Padula,73283,1-0,8,1980,cr Ladac 34,C40,King's Knight Opening
1243380,B Wall,32393,J Lippert,73289,1-0,8,1980,Dayton,B23,"Sicilian, Closed"
1243381,B Wall,32393,N Barsalou,32946,1-0,8,1980,Dayton,C11,French
1243386,Efremov,73297,Amirchanov,73298,1-0,8,1980,Kazan,C10,French
1243396,J Dainauskas,73311,Blecher,31662,1-0,8,1980,Siauliai,B12,Caro-Kann Defense
1251050,Carta,32959,Scarpata,77654,1-0,8,1980,Italy,B50,Sicilian
1251055,B Wall,32393,Mitchell,19443,1-0,8,1980,North Carolina,B32,Sicilian
1243383,G Welling,31072,Brinkhorst,73293,1-0,9,1980,Simul,B21,"Sicilian, 2.f4 and 2.d4"
1243391,Vyronel,73304,Adao,73305,1-0,9,1980,Mexico,C44,King's Pawn Game
1243393,M Yudovic,73307,J Kelner,73308,1-0,9,1980,Ol,C16,"French, Winawer"
1243404,T Dagorov,73322,D Beckman,73323,1-0,9,1980,USSR,B06,Robatsch
1251043,J T Collins,77644,Joseph Manuel,77645,1-0,9,1980,NWC February,C25,Vienna
1251044,A Haas,77646,K Lee,77647,1-0,9,1980,Dayton,C77,Ruy Lopez
1077147,B Wall,32393,R Shirley Jr,32947,1-0,10,1980,Dayton,C34,King's Gambit Accepted
1243369,A Machulsky,23172,Schevtschenko,73278,1-0,10,1980,Charkow,B30,Sicilian
1243372,Stapelfeld,73281,Stock,72630,1-0,10,1980,cr,D00,Queen's Pawn Game
1243384,Werten,73294,Knops,73295,1-0,10,1980,HMC,C42,Petrov Defense
1243401,T Martin,63382,NN,12883,1-0,10,1980,Tilburg blitz,C70,Ruy Lopez
1243403,J Acers,73320,Parsons,91489,1-0,10,1980,USA,B46,"Sicilian, Taimanov Variation"
