id,ime,letnica_rojstva,drzava_rojstva,stevilo_iger_v_bazi,zacetek,konec,zmage,porazi,remiji,delez_zmag,kvaliteta
73299,Mackowiak,,,1,1980,1980,,,,,
73300,Kusiak,,,1,1980,1980,,,,,
77680,Deming,,,1,1980,1980,,,,,
33568,Cornell,,,3,1980,1986,,,,,
32393,B Wall,1951,United States of America,380,1969,2016,180,150,50,53.9,
32944,G Hayes,,,1,1980,1980,,,,,
73296,Ziganovic,,,1,1980,1980,,,,,
41055,Laketic,,,1,1980,1980,,,,,
77670,R J Lovegren,,,3,1980,1981,,,,,
32802,K Johansson,,,6,1978,1981,4,2,0,66.7,
32934,S Svensson,,,1,1980,1980,,,,,
48744,Moreno,,,1,1980,1980,,,,,
73283,Padula,,,1,1980,1980,,,,,
73289,J Lippert,,,1,1980,1980,,,,,
32946,N Barsalou,,,5,1980,1985,,,,,
73297,Efremov,,,1,1980,1980,,,,,
73298,Amirchanov,,,1,1980,1980,,,,,
73311,J Dainauskas,,,1,1980,1980,,,,,
31662,Blecher,,,2,1858,1980,,,,,
32959,Carta,,,2,1980,1980,,,,,
77654,Scarpata,,,1,1980,1980,,,,,
19443,Mitchell,,,8,1880,1991,5,3,0,62.5,
31072,G Welling,1959,Netherlands,"1,130",1973,2019,553,247,312,63.8,2278
73293,Brinkhorst,,,1,1980,1980,,,,,
73304,Vyronel,,,1,1980,1980,,,,,
73305,Adao,,,1,1980,1980,,,,,
73307,M Yudovic,,,1,1980,1980,,,,,
73308,J Kelner,,,1,1980,1980,,,,,
73322,T Dagorov,,,1,1980,1980,,,,,
73323,D Beckman,,,1,1980,1980,,,,,
77644,J T Collins,1960,United States of America,2,1980,1987,,,,,2191
77645,Joseph Manuel,,,1,1980,1980,,,,,
77646,A Haas,,,1,1980,1980,,,,,
77647,K Lee,,,1,1980,1980,,,,,
32947,R Shirley Jr,,,3,1980,1982,,,,,
23172,A Machulsky,1956,Russia,48,1973,2007,13,15,19,47.9,2505
73278,Schevtschenko,,,1,1980,1980,,,,,
73281,Stapelfeld,,,2,1973,1980,,,,,
72630,Stock,,,1,1980,1980,,,,,
73294,Werten,,,1,1980,1980,,,,,
73295,Knops,,,1,1980,1980,,,,,
63382,T Martin,,,4,1980,1991,1,0,3,62.5,
12883,NN,,,"1,035",1497,2020,,,,,
73320,J Acers,1944,United States of America,28,1964,2013,14,9,5,58.9,2229
91489,Parsons,,,2,1954,1980,,,,,
28421,Moore,,,8,1845,1988,4,4,0,50.0,
77650,Peto,,,1,1980,1980,,,,,
77655,B South,,,1,1980,1980,,,,,
77656,T Neshan,,,1,1980,1980,,,,,
77657,Apra,,,1,1980,1980,,,,,
77658,Furini,,,1,1980,1980,,,,,
77665,M R Hazlewood,1953,United States of America,1,1980,1980,,,,,
77666,Fleming,,,1,1980,1980,,,,,
32948,D Hayes,,,4,1980,1980,,,,,
77659,Berman,,,1,1980,1980,,,,,
77660,Briones,,,1,1980,1980,,,,,
77675,C Reilly,,,1,1980,1980,,,,,
77676,M Tavel,,,1,1980,1980,,,,,
21784,K Spraggett,1954,Canada,"1,572",1971,2017,768,240,553,66.9,2495
44025,M Desautels,,,1,1980,1980,,,,,
152293,Harlan Brewer,,,1,1980,1980,,,,,
77649,M Bradach,,,1,1980,1980,,,,,
16824,M Brooks,1961,United States of America,129,1979,2012,59,32,38,60.5,2335
77653,E Richards,,,1,1980,1980,,,,,
77671,J Inge,,,1,1980,1980,,,,,
77672,R Selinsky,,,1,1980,1980,,,,,
25848,L Garcia,,,2,1978,1980,,,,,2192
19889,J Gonzalez,,,9,1962,1997,,,,,
36606,J C Knudsen,1956,United States of America,23,1980,2012,7,9,7,45.7,
36607,J Wright,,,1,1980,1980,,,,,
59588,R Hedrick,,,1,1980,1980,,,,,
59589,P Cannady,,,1,1980,1980,,,,,
32939,Talving,,,1,1980,1980,,,,,
32940,Haru,,,1,1980,1980,,,,,
32891,D Overcash,,,2,1979,1980,,,,,
17945,J Penrose,1933,United Kingdom,450,1950,1995,170,101,179,57.7,2405
40895,Pryor,,,1,1980,1980,,,,,
29926,E J Diemer,1908,Germany,217,1933,1987,167,40,8,79.5,
52132,M Senff,1980,Germany,106,1980,2009,32,33,41,49.5,2469
94808,R Kruithof,,,1,1980,1980,,,,,
15861,Palatnik,1950,Ukraine,144,1967,2012,47,42,55,51.7,2455
15712,Geller,,,"2,236",1946,1995,806,341,1082,60.4,
59590,Robinnette,,,1,1980,1980,,,,,
59591,Randell,,,1,1980,1980,,,,,
33418,Schnabel,,,2,1980,1985,,,,,
73287,J Cook,,,2,1980,1982,,,,,
73316,Molero,,,1,1980,1980,,,,,
73317,A Lootsma,1941,Sweden,1,1980,1980,,,,,1648
32960,Cassano,,,1,1980,1980,,,,,
36771,H Plasman,1973,Netherlands,29,1980,2001,7,13,9,39.7,2038
18565,Hardy,,,4,1956,1989,2,2,0,50.0,
73279,R Blaine,1948,United States of America,2,1964,1980,,,,,
26786,D Poldauf,1965,Germany,112,1980,2012,30,44,37,43.7,2384
101001,C Steudtmann,1944,Germany,2,1980,1997,,,,,2260
73314,R Ashley,,,1,1980,1980,,,,,
73315,R Morton,,,2,1923,1980,,,,,
19664,M Braun,1963,Germany,11,1980,1994,2,5,4,36.4,2365
73284,R MacBrayne,,,1,1980,1980,,,,,
73285,Crichton,,,1,1980,1980,,,,,
73301,Nilzon,,,1,1980,1980,,,,,
13576,Garcia,,,40,1946,2003,18,5,17,66.2,
30508,R Schlenker,1952,Germany,10,1974,1992,3,6,1,35.0,2250
63048,W Stamer,1946,Germany,3,1980,1987,,,,,
77661,Bardi,,,1,1980,1980,,,,,
77662,Gacsalyi,,,1,1980,1980,,,,,
77667,D Brown,,,1,1980,1980,,,,,
77668,J Dykes,,,1,1980,1980,,,,,
59593,C Hatherill,,,2,1980,1980,,,,,
32950,P Baudoin,1949,Netherlands,2,1980,1991,,,,,
32951,A Kleijberg,1960,Netherlands,3,1980,1985,,,,,2128
32991,Bosscher,,,1,1980,1980,,,,,
32992,L Smit,,,1,1980,1980,,,,,
18597,Taylor,,,20,1882,2004,9,9,2,50.0,
36529,P Cody,,,52,1980,2001,14,23,15,41.3,
59710,P Kahn,1940,Germany,7,1973,1988,6,1,0,85.7,2043
30859,N Karker,1929,Germany,27,1968,1991,11,11,5,50.0,
77664,K Baldino,,,1,1980,1980,,,,,
148988,A Moore,,,1,1980,1980,,,,,
77673,B Gannon,,,1,1980,1980,,,,,
77674,R Vilen,,,1,1980,1980,,,,,
111526,Z Liszka,1953,Poland,1,1980,1980,,,,,2175
32669,A Harju,1943,Finland,9,1867,1992,2,7,0,22.2,1886
73240,A Faber,,,2,1978,1980,,,,,
